from	to
Epimeria georgiana	Eurythenes gryllus
Epimeria georgiana	Eusirus perdentatus
Epimeria georgiana	Odontaster validus
Epimeria georgiana	Ophionotus victoriae
Epimeria georgiana	Waldeckia obesa
Epimeria georgiana	Trematomus scotti
Epimeria georgiana	Pogonophryne phyllopogon
Epimeria georgiana	Labidiaster annulatus
Epimeria georgiana	Eunoe spica spicoides
Epimeria rubrieques	Pachycara brachycephalum
Epimeria rubrieques	Serolis polita
Epimeria rubrieques	Serolella bouveri
Epimeria rubrieques	Pogonophryne barsukovi
Epimeria rubrieques	Pogonophryne scotti
Epimeria rubrieques	Harmotoe hartmanae
Epimeria rubrieques	Cygnodraco mawsoni
Epimeria rubrieques	Artedidraco skottsbergi
Epimeria rubrieques	Artedidraco loennbergi
Epimeria rubrieques	Ophiurolepis gelida
Epimeria rubrieques	Ophiurolepis brevirima
Epimeria rubrieques	Eunoe hartmanae
Epimeria rubrieques	Polyeunoa laevis
Epimeria rubrieques	Harmothoe crosetensis
Epimeria rubrieques	Frontoserolis bouvieri
Epimeria rubrieques	Ceratoserolis meridionalis
Epimeria rubrieques	Eulagisca gigantea
Epimeria rubrieques	Rhachotropis antarctica
Epimeria rubrieques	Laetmonice producta
Epimeria rubrieques	Bathypanoploea schellenbergi
Epimeria rubrieques	Eunoe spica
Epimeria rubrieques	Liljeborgia georgiana
Epimeria rubrieques	Paraceradocus gibber
Epimeria rubrieques	Oediceroides calmani
Epimeria rubrieques	Oediceroides emarginatus
Epimeria rubrieques	Dolloidraco longedorsalis
Epimeria rubrieques	Uristes gigas
Epimeria rubrieques	Gerlachea australis
Epimeria rubrieques	Ophiosparte gigas
Epimeria rubrieques	Pogonophryne permitini
Epimeria rubrieques	Muraenolepis microps
Epimeria rubrieques	Epimeriella walkeri
Epimeria rubrieques	Tryphosella murrayi
Epimeria rubrieques	Trematomus nicolai
Epimeria rubrieques	Aethotaxis mitopteryx
Epimeria rubrieques	Harmothoe spinosa
Epimeria rubrieques	Trematomus pennellii
Epimeria rubrieques	Chorismus antarcticus
Epimeria rubrieques	Dissostichus mawsoni
Epimeria rubrieques	Eurythenes gryllus
Epimeria rubrieques	Eusirus perdentatus
Epimeria rubrieques	Odontaster validus
Epimeria rubrieques	Ophionotus victoriae
Epimeria rubrieques	Waldeckia obesa
Epimeria rubrieques	Trematomus scotti
Epimeria rubrieques	Pogonophryne phyllopogon
Epimeria rubrieques	Labidiaster annulatus
Epimeria rubrieques	Eunoe spica spicoides
Epimeria macrodonta	Pachycara brachycephalum
Epimeria macrodonta	Serolis polita
Epimeria macrodonta	Serolella bouveri
Epimeria macrodonta	Pogonophryne barsukovi
Epimeria macrodonta	Pogonophryne scotti
Epimeria macrodonta	Harmotoe hartmanae
Epimeria macrodonta	Cygnodraco mawsoni
Epimeria macrodonta	Pogonophryne marmorata
Epimeria macrodonta	Artedidraco skottsbergi
Epimeria macrodonta	Artedidraco loennbergi
Epimeria macrodonta	Ophiurolepis gelida
Epimeria macrodonta	Ophiurolepis brevirima
Epimeria macrodonta	Eunoe hartmanae
Epimeria macrodonta	Polyeunoa laevis
Epimeria macrodonta	Harmothoe crosetensis
Epimeria macrodonta	Frontoserolis bouvieri
Epimeria macrodonta	Ceratoserolis meridionalis
Epimeria macrodonta	Eulagisca gigantea
Epimeria macrodonta	Rhachotropis antarctica
Epimeria macrodonta	Laetmonice producta
Epimeria macrodonta	Bathypanoploea schellenbergi
Epimeria macrodonta	Eunoe spica
Epimeria macrodonta	Liljeborgia georgiana
Epimeria macrodonta	Paraceradocus gibber
Epimeria macrodonta	Oediceroides calmani
Epimeria macrodonta	Oediceroides emarginatus
Epimeria macrodonta	Dolloidraco longedorsalis
Epimeria macrodonta	Uristes gigas
Epimeria macrodonta	Gerlachea australis
Epimeria macrodonta	Ophiosparte gigas
Epimeria macrodonta	Pogonophryne permitini
Epimeria macrodonta	Muraenolepis microps
Epimeria macrodonta	Epimeriella walkeri
Epimeria macrodonta	Tryphosella murrayi
Epimeria macrodonta	Trematomus nicolai
Epimeria macrodonta	Aethotaxis mitopteryx
Epimeria macrodonta	Artedidraco orianae
Epimeria macrodonta	Harmothoe spinosa
Epimeria macrodonta	Trematomus pennellii
Epimeria macrodonta	Trematomus hansoni
Epimeria macrodonta	Chorismus antarcticus
Epimeria macrodonta	Dissostichus mawsoni
Epimeria macrodonta	Eurythenes gryllus
Epimeria macrodonta	Eusirus perdentatus
Epimeria macrodonta	Odontaster validus
Epimeria macrodonta	Ophionotus victoriae
Epimeria macrodonta	Waldeckia obesa
Epimeria macrodonta	Trematomus scotti
Epimeria macrodonta	Pogonophryne phyllopogon
Epimeria macrodonta	Labidiaster annulatus
Epimeria macrodonta	Eunoe spica spicoides
Epimeria robusta	Pachycara brachycephalum
Epimeria robusta	Serolis polita
Epimeria robusta	Serolella bouveri
Epimeria robusta	Pogonophryne barsukovi
Epimeria robusta	Pogonophryne scotti
Epimeria robusta	Harmotoe hartmanae
Epimeria robusta	Cygnodraco mawsoni
Epimeria robusta	Pogonophryne marmorata
Epimeria robusta	Artedidraco skottsbergi
Epimeria robusta	Artedidraco loennbergi
Epimeria robusta	Moroteuthis ingens
Epimeria robusta	Ophiurolepis gelida
Epimeria robusta	Ophiurolepis brevirima
Epimeria robusta	Eunoe hartmanae
Epimeria robusta	Polyeunoa laevis
Epimeria robusta	Harmothoe crosetensis
Epimeria robusta	Frontoserolis bouvieri
Epimeria robusta	Ceratoserolis meridionalis
Epimeria robusta	Eulagisca gigantea
Epimeria robusta	Rhachotropis antarctica
Epimeria robusta	Laetmonice producta
Epimeria robusta	Bathypanoploea schellenbergi
Epimeria robusta	Eunoe spica
Epimeria robusta	Liljeborgia georgiana
Epimeria robusta	Paraceradocus gibber
Epimeria robusta	Oediceroides calmani
Epimeria robusta	Oediceroides emarginatus
Epimeria robusta	Dolloidraco longedorsalis
Epimeria robusta	Uristes gigas
Epimeria robusta	Gerlachea australis
Epimeria robusta	Ophiosparte gigas
Epimeria robusta	Pogonophryne permitini
Epimeria robusta	Muraenolepis microps
Epimeria robusta	Epimeriella walkeri
Epimeria robusta	Tryphosella murrayi
Epimeria robusta	Trematomus nicolai
Epimeria robusta	Trematomus lepidorhinus
Epimeria robusta	Trematomus eulepidotus
Epimeria robusta	Aethotaxis mitopteryx
Epimeria robusta	Artedidraco orianae
Epimeria robusta	Harmothoe spinosa
Epimeria robusta	Trematomus pennellii
Epimeria robusta	Trematomus hansoni
Epimeria robusta	Chorismus antarcticus
Epimeria robusta	Trematomus loennbergii
Epimeria robusta	Dissostichus mawsoni
Epimeria robusta	Eurythenes gryllus
Epimeria robusta	Eusirus perdentatus
Epimeria robusta	Odontaster validus
Epimeria robusta	Ophionotus victoriae
Epimeria robusta	Notothenia coriiceps
Epimeria robusta	Waldeckia obesa
Epimeria robusta	Trematomus scotti
Epimeria robusta	Pogonophryne phyllopogon
Epimeria robusta	Labidiaster annulatus
Epimeria robusta	Eunoe spica spicoides
Epimeria robusta	Harpagifer antarcticus
Epimeria robusta	Trematomus bernacchii
Epimeria similis	Pachycara brachycephalum
Epimeria similis	Serolis polita
Epimeria similis	Serolella bouveri
Epimeria similis	Pogonophryne barsukovi
Epimeria similis	Pogonophryne scotti
Epimeria similis	Harmotoe hartmanae
Epimeria similis	Cygnodraco mawsoni
Epimeria similis	Artedidraco skottsbergi
Epimeria similis	Artedidraco loennbergi
Epimeria similis	Ophiurolepis gelida
Epimeria similis	Ophiurolepis brevirima
Epimeria similis	Eunoe hartmanae
Epimeria similis	Polyeunoa laevis
Epimeria similis	Harmothoe crosetensis
Epimeria similis	Frontoserolis bouvieri
Epimeria similis	Ceratoserolis meridionalis
Epimeria similis	Eulagisca gigantea
Epimeria similis	Rhachotropis antarctica
Epimeria similis	Laetmonice producta
Epimeria similis	Bathypanoploea schellenbergi
Epimeria similis	Eunoe spica
Epimeria similis	Liljeborgia georgiana
Epimeria similis	Paraceradocus gibber
Epimeria similis	Oediceroides calmani
Epimeria similis	Oediceroides emarginatus
Epimeria similis	Dolloidraco longedorsalis
Epimeria similis	Uristes gigas
Epimeria similis	Gerlachea australis
Epimeria similis	Ophiosparte gigas
Epimeria similis	Pogonophryne permitini
Epimeria similis	Muraenolepis microps
Epimeria similis	Epimeriella walkeri
Epimeria similis	Tryphosella murrayi
Epimeria similis	Trematomus nicolai
Epimeria similis	Aethotaxis mitopteryx
Epimeria similis	Harmothoe spinosa
Epimeria similis	Trematomus pennellii
Epimeria similis	Trematomus hansoni
Epimeria similis	Chorismus antarcticus
Epimeria similis	Dissostichus mawsoni
Epimeria similis	Eurythenes gryllus
Epimeria similis	Eusirus perdentatus
Epimeria similis	Odontaster validus
Epimeria similis	Ophionotus victoriae
Epimeria similis	Waldeckia obesa
Epimeria similis	Trematomus scotti
Epimeria similis	Pogonophryne phyllopogon
Epimeria similis	Labidiaster annulatus
Epimeria similis	Eunoe spica spicoides
Pelegobia longicirrata	Sagitta marri
Pelegobia longicirrata	Beroe cucumis
Pelegobia longicirrata	Gymnoscopelus opisthopterus
Pelegobia longicirrata	Cyllopus lucasii
Pelegobia longicirrata	Notolepis coatsi
Pelegobia longicirrata	Gymnoscopelus braueri
Pelegobia longicirrata	Electrona antarctica
Pelegobia longicirrata	Bathylagus antarcticus
Pelegobia longicirrata	Clio pyramidata
Pelegobia longicirrata	Paraeuchaeta antarctica
Pelegobia longicirrata	Calanoides acutus
Pelegobia longicirrata	Salpa thompsoni
Dolloidraco longedorsalis	Aptenodytes forsteri
Dolloidraco longedorsalis	Leptonychotes weddelli
Dolloidraco longedorsalis	Psilaster charcoti
Dolloidraco longedorsalis	Colossendeis scotti
Dolloidraco longedorsalis	Macrourus holotrachys
Dolloidraco longedorsalis	Abyssorchomene nodimanus
Dolloidraco longedorsalis	Pareledone antarctica
Dolloidraco longedorsalis	Pareledone charcoti
Dolloidraco longedorsalis	Nymphon gracillimum
Dolloidraco longedorsalis	Ammothea carolinensis
Dolloidraco longedorsalis	Eunoe spica
Dolloidraco longedorsalis	Ophiosparte gigas
Dolloidraco longedorsalis	Macrourus whitsoni
Dolloidraco longedorsalis	Ommatophoca rossii
Dolloidraco longedorsalis	Tryphosella murrayi
Dolloidraco longedorsalis	Hydrurga leptonyx
Dolloidraco longedorsalis	Arctocephalus gazella
Dolloidraco longedorsalis	Pentanymphon antarcticum
Dolloidraco longedorsalis	Trematomus pennellii
Dolloidraco longedorsalis	Trematomus hansoni
Dolloidraco longedorsalis	Trematomus loennbergii
Dolloidraco longedorsalis	Pagetopsis macropterus
Dolloidraco longedorsalis	Mirounga leonina
Dolloidraco longedorsalis	Dacodraco hunteri
Dolloidraco longedorsalis	Notothenia coriiceps
Dolloidraco longedorsalis	Eunoe spica spicoides
Alexandrella mixta	Pachycara brachycephalum
Alexandrella mixta	Serolis polita
Alexandrella mixta	Serolella bouveri
Alexandrella mixta	Pogonophryne barsukovi
Alexandrella mixta	Pogonophryne scotti
Alexandrella mixta	Harmotoe hartmanae
Alexandrella mixta	Cygnodraco mawsoni
Alexandrella mixta	Artedidraco skottsbergi
Alexandrella mixta	Artedidraco loennbergi
Alexandrella mixta	Ophiurolepis gelida
Alexandrella mixta	Ophiurolepis brevirima
Alexandrella mixta	Eunoe hartmanae
Alexandrella mixta	Polyeunoa laevis
Alexandrella mixta	Harmothoe crosetensis
Alexandrella mixta	Frontoserolis bouvieri
Alexandrella mixta	Ceratoserolis meridionalis
Alexandrella mixta	Eulagisca gigantea
Alexandrella mixta	Rhachotropis antarctica
Alexandrella mixta	Laetmonice producta
Alexandrella mixta	Bathypanoploea schellenbergi
Alexandrella mixta	Eunoe spica
Alexandrella mixta	Liljeborgia georgiana
Alexandrella mixta	Paraceradocus gibber
Alexandrella mixta	Oediceroides calmani
Alexandrella mixta	Oediceroides emarginatus
Alexandrella mixta	Dolloidraco longedorsalis
Alexandrella mixta	Uristes gigas
Alexandrella mixta	Gerlachea australis
Alexandrella mixta	Ophiosparte gigas
Alexandrella mixta	Pogonophryne permitini
Alexandrella mixta	Muraenolepis microps
Alexandrella mixta	Epimeriella walkeri
Alexandrella mixta	Tryphosella murrayi
Alexandrella mixta	Trematomus nicolai
Alexandrella mixta	Aethotaxis mitopteryx
Alexandrella mixta	Harmothoe spinosa
Alexandrella mixta	Trematomus pennellii
Alexandrella mixta	Chorismus antarcticus
Alexandrella mixta	Dissostichus mawsoni
Alexandrella mixta	Eurythenes gryllus
Alexandrella mixta	Eusirus perdentatus
Alexandrella mixta	Odontaster validus
Alexandrella mixta	Ophionotus victoriae
Alexandrella mixta	Waldeckia obesa
Alexandrella mixta	Trematomus scotti
Alexandrella mixta	Pogonophryne phyllopogon
Alexandrella mixta	Labidiaster annulatus
Alexandrella mixta	Eunoe spica spicoides
Fish	Orcinus orca
Fish	Macrourus holotrachis
Fish	Tursiops truncatus
Fish	Lagenorhynchus cruciger
Fish	Physeter macrocephalus
Fish	Parborlasia corrugatus
Fish	Balaenoptera physalus
Fish	Balaenoptera musculus
Fish	Pterodroma brevirostris
Fish	Procellaria aequinoctialis
Fish	Aptenodytes forsteri
Fish	Pachyptila desolata
Fish	Lineus longifissus
Fish	Baseodiscus antarcticus
Fish	Notothenia marmorata
Fish	Pagetopsis maculatus
Fish	Chionodraco myersi
Fish	Racovitzia glacialis
Fish	Cygnodraco mawsoni
Fish	Pareledone charcoti
Fish	Desmonema glaciale
Fish	Astrotoma agassizii
Fish	Eunoe spica
Fish	Ophiosparte gigas
Fish	Macrourus whitsoni
Fish	Ommatophoca rossii
Fish	Tryphosella murrayi
Fish	Balaenoptera acutorostrata
Fish	Lobodon carcinophagus
Fish	Hydrurga leptonyx
Fish	Chionodraco hamatus
Fish	Arctocephalus gazella
Fish	Trematomus eulepidotus
Fish	Trematomus pennellii
Fish	Trematomus hansoni
Fish	Trematomus loennbergii
Fish	Dissostichus mawsoni
Fish	Mirounga leonina
Fish	Gymnoscopelus nicholsi
Fish	Halobaena caerulea
Fish	Pagodroma nivea
Fish	Thalassoica antarctica
Fish	Oceanites oceanicus
Fish	Daption capense
Fish	Psychroteuthis glacialis
Fish	Fulmarus glacialoides
Fish	Gymnodraco acuticeps
Fish	Leptonychotes weddellii
Fish	Neobuccinum eatoni
Fish	Notothenia coriiceps
Fish	Eunoe spica spicoides
Fish	Trematomus bernacchii
Holothuria	Astrotoma agassizii
Holothuria	Harmothoe crosetensis
Holothuria	Bathypanoploea schellenbergi
Holothuria	Eunoe spica
Holothuria	Melphidippa antarctica
Holothuria	Epimeria georgiana
Holothuria	Epimeria macrodonta
Holothuria	Epimeria robusta
Holothuria	Epimeriella walkeri
Holothuria	Harmothoe spinosa
Holothuria	Notocrangon antarcticus
Holothuria	Eurythenes gryllus
Holothuria	Waldeckia obesa
Holothuria	Eunoe spica spicoides
Polychaeta	Artedidraco shackletoni
Polychaeta	Aporocidaris milleri
Polychaeta	Parborlasia corrugatus
Polychaeta	Solaster sp.
Polychaeta	Lineus longifissus
Polychaeta	Baseodiscus antarcticus
Polychaeta	Ctenocidaris spinosa
Polychaeta	Ctenocidaris gigantea
Polychaeta	Colossendeis sp.
Polychaeta	Racovitzia glacialis
Polychaeta	Prionodraco evansii
Polychaeta	Pogonophryne marmorata
Polychaeta	Artedidraco skottsbergi
Polychaeta	Artedidraco loennbergi
Polychaeta	Pareledone charcoti
Polychaeta	Edwardsia meridionalis
Polychaeta	Isotealia antarctica
Polychaeta	Solmundella bitentaculata
Polychaeta	Astrotoma agassizii
Polychaeta	Ophiurolepis gelida
Polychaeta	Ophiurolepis brevirima
Polychaeta	Ophioceres incipiens
Polychaeta	Eunoe hartmanae
Polychaeta	Harmothoe crosetensis
Polychaeta	Nymphon gracillimum
Polychaeta	Ammothea carolinensis
Polychaeta	Frontoserolis bouvieri
Polychaeta	Ceratoserolis meridionalis
Polychaeta	Rhachotropis antarctica
Polychaeta	Laetmonice producta
Polychaeta	Heterophoxus videns
Polychaeta	Eunoe spica
Polychaeta	Liljeborgia georgiana
Polychaeta	Epimeria georgiana
Polychaeta	Epimeria rubrieques
Polychaeta	Epimeria robusta
Polychaeta	Epimeria similis
Polychaeta	Dolloidraco longedorsalis
Polychaeta	Ophiosparte gigas
Polychaeta	Macrourus whitsoni
Polychaeta	Pogonophryne permitini
Polychaeta	Trematomus lepidorhinus
Polychaeta	Trematomus eulepidotus
Polychaeta	Aethotaxis mitopteryx
Polychaeta	Artedidraco orianae
Polychaeta	Pentanymphon antarcticum
Polychaeta	Harmothoe spinosa
Polychaeta	Barrukia cristata
Polychaeta	Trematomus pennellii
Polychaeta	Trematomus hansoni
Polychaeta	Notocrangon antarcticus
Polychaeta	Chorismus antarcticus
Polychaeta	Trematomus loennbergii
Polychaeta	Eurythenes gryllus
Polychaeta	Eusirus perdentatus
Polychaeta	Gymnodraco acuticeps
Polychaeta	Electrona antarctica
Polychaeta	Sterechinus neumayeri
Polychaeta	Odontaster validus
Polychaeta	Ophionotus victoriae
Polychaeta	Glyptonotus antarcticus
Polychaeta	Notothenia coriiceps
Polychaeta	Waldeckia obesa
Polychaeta	Trematomus scotti
Polychaeta	Pogonophryne phyllopogon
Polychaeta	Ophioperla koehleri
Polychaeta	Labidiaster annulatus
Polychaeta	Eunoe spica spicoides
Polychaeta	Harpagifer antarcticus
Polychaeta	Trematomus bernacchii
Fragilariopsis kerguelensis	Ihlea racovitzai
Fragilariopsis kerguelensis	Salpa gerlachei
Fragilariopsis kerguelensis	Isosicyonis alba
Fragilariopsis kerguelensis	Camylaspis maculata
Fragilariopsis kerguelensis	Vaunthompsonia indermis
Fragilariopsis kerguelensis	Eudorella splendida
Fragilariopsis kerguelensis	Sterechinus antarcticus
Fragilariopsis kerguelensis	Porania antarctica glabra
Fragilariopsis kerguelensis	Porania antarctica
Fragilariopsis kerguelensis	Bathybiaster loripes
Fragilariopsis kerguelensis	Parmaphorella mawsoni
Fragilariopsis kerguelensis	Nototanais dimorphus
Fragilariopsis kerguelensis	Peraeospinosus pushkini
Fragilariopsis kerguelensis	Nototanais antarcticus
Fragilariopsis kerguelensis	Conchoecia antipoda
Fragilariopsis kerguelensis	Boroecia antipoda
Fragilariopsis kerguelensis	Metaconchoecia isocheira
Fragilariopsis kerguelensis	Alacia belgicae
Fragilariopsis kerguelensis	Alacia hettacra
Fragilariopsis kerguelensis	Anthomastus bathyproctus
Fragilariopsis kerguelensis	Clavularia frankiliana
Fragilariopsis kerguelensis	Gersemia antarctica
Fragilariopsis kerguelensis	Oswaldella antarctica
Fragilariopsis kerguelensis	Austrosignum grande
Fragilariopsis kerguelensis	Antarctomysis maxima
Fragilariopsis kerguelensis	Euchaetomera antarcticus
Fragilariopsis kerguelensis	Eucopia australis
Fragilariopsis kerguelensis	Ophiacantha antarctica
Fragilariopsis kerguelensis	Djerboa furcipes
Fragilariopsis kerguelensis	Oradarea edentata
Fragilariopsis kerguelensis	Haplocheira plumosa
Fragilariopsis kerguelensis	Hyperiella dilatata
Fragilariopsis kerguelensis	Vanadis antarctica
Fragilariopsis kerguelensis	Rhynchonereella bongraini
Fragilariopsis kerguelensis	Abyssorchomene rossi
Fragilariopsis kerguelensis	Ampelisca richardsoni
Fragilariopsis kerguelensis	Thysanoessa macrura
Fragilariopsis kerguelensis	Rhincalanus gigas
Fragilariopsis kerguelensis	Euphausia frigida
Fragilariopsis kerguelensis	Euphausia crystallorophias
Fragilariopsis kerguelensis	Neogloboquadriana pachyderma
Fragilariopsis kerguelensis	Lenticulina antarctica
Fragilariopsis kerguelensis	Globocassidulina crassa
Fragilariopsis kerguelensis	Cibicides refulgens
Fragilariopsis kerguelensis	Cassidulinoides parkerianus
Fragilariopsis kerguelensis	Parvicorbucula socialis
Fragilariopsis kerguelensis	Edwardsia meridionalis
Fragilariopsis kerguelensis	Isotealia antarctica
Fragilariopsis kerguelensis	Monocaulus parvula
Fragilariopsis kerguelensis	Silicularia rosea
Fragilariopsis kerguelensis	Astrotoma agassizii
Fragilariopsis kerguelensis	Ophiurolepis gelida
Fragilariopsis kerguelensis	Ophiurolepis brevirima
Fragilariopsis kerguelensis	Ophioceres incipiens
Fragilariopsis kerguelensis	Nematocarcinus lanceopes
Fragilariopsis kerguelensis	Rhachotropis antarctica
Fragilariopsis kerguelensis	Heterophoxus videns
Fragilariopsis kerguelensis	Bathypanoploea schellenbergi
Fragilariopsis kerguelensis	Paraceradocus gibber
Fragilariopsis kerguelensis	Oediceroides calmani
Fragilariopsis kerguelensis	Oediceroides emarginatus
Fragilariopsis kerguelensis	Epimeria georgiana
Fragilariopsis kerguelensis	Epimeria macrodonta
Fragilariopsis kerguelensis	Epimeria similis
Fragilariopsis kerguelensis	Uristes gigas
Fragilariopsis kerguelensis	Ophiosparte gigas
Fragilariopsis kerguelensis	Epimeriella walkeri
Fragilariopsis kerguelensis	Notocrangon antarcticus
Fragilariopsis kerguelensis	Chorismus antarcticus
Fragilariopsis kerguelensis	Abyssorchomene plebs
Fragilariopsis kerguelensis	Cyllopus lucasii
Fragilariopsis kerguelensis	Paraeuchaeta antarctica
Fragilariopsis kerguelensis	Calanus propinquus
Fragilariopsis kerguelensis	Metridia gerlachei
Fragilariopsis kerguelensis	Calanoides acutus
Fragilariopsis kerguelensis	Pelagobia longicirrata
Fragilariopsis kerguelensis	Sterechinus neumayeri
Fragilariopsis kerguelensis	Odontaster validus
Fragilariopsis kerguelensis	Salpa thompsoni
Fragilariopsis kerguelensis	Ophionotus victoriae
Fragilariopsis kerguelensis	Euphausia superba
Eukaryota	Calanus propinquus
Eukaryota	Metridia gerlachei
Eukaryota	Calanoides acutus
Dictyochales	Calanus propinquus
Dictyochales	Metridia gerlachei
Dictyochales	Calanoides acutus
Protozoa	Clavularia frankliniana
Protomyctophum tenisoni	Arctocephalus gazella
Paraeuchaeta sp.	Paradiplospinus gracilis
Paraeuchaeta sp.	Gymnoscopelus nicholsi
Paraeuchaeta sp.	Protomyctophum bolini
Paraeuchaeta sp.	Gymnoscopelus braueri
Paraeuchaeta sp.	Electrona antarctica
Gaetanus sp.	Paradiplospinus gracilis
Gaetanus sp.	Gymnoscopelus nicholsi
Gaetanus sp.	Protomyctophum bolini
Gaetanus sp.	Gymnoscopelus braueri
Gaetanus sp.	Electrona antarctica
Echinocucumis sp.	Eunoe opalina
Bathyplotes sp.	Eunoe opalina
Uristes gigas	Aptenodytes forsteri
Uristes gigas	Pachycara brachycephalum
Uristes gigas	Serolis polita
Uristes gigas	Serolella bouveri
Uristes gigas	Pogonophryne barsukovi
Uristes gigas	Pogonophryne scotti
Uristes gigas	Harmotoe hartmanae
Uristes gigas	Cygnodraco mawsoni
Uristes gigas	Artedidraco skottsbergi
Uristes gigas	Artedidraco loennbergi
Uristes gigas	Ophiurolepis gelida
Uristes gigas	Ophiurolepis brevirima
Uristes gigas	Eunoe hartmanae
Uristes gigas	Polyeunoa laevis
Uristes gigas	Harmothoe crosetensis
Uristes gigas	Frontoserolis bouvieri
Uristes gigas	Ceratoserolis meridionalis
Uristes gigas	Eulagisca gigantea
Uristes gigas	Rhachotropis antarctica
Uristes gigas	Laetmonice producta
Uristes gigas	Bathypanoploea schellenbergi
Uristes gigas	Eunoe spica
Uristes gigas	Liljeborgia georgiana
Uristes gigas	Paraceradocus gibber
Uristes gigas	Oediceroides calmani
Uristes gigas	Oediceroides emarginatus
Uristes gigas	Dolloidraco longedorsalis
Uristes gigas	Uristes gigas
Uristes gigas	Gerlachea australis
Uristes gigas	Ophiosparte gigas
Uristes gigas	Pogonophryne permitini
Uristes gigas	Muraenolepis microps
Uristes gigas	Epimeriella walkeri
Uristes gigas	Tryphosella murrayi
Uristes gigas	Trematomus nicolai
Uristes gigas	Aethotaxis mitopteryx
Uristes gigas	Harmothoe spinosa
Uristes gigas	Trematomus pennellii
Uristes gigas	Chorismus antarcticus
Uristes gigas	Dissostichus mawsoni
Uristes gigas	Eurythenes gryllus
Uristes gigas	Eusirus perdentatus
Uristes gigas	Odontaster validus
Uristes gigas	Ophionotus victoriae
Uristes gigas	Waldeckia obesa
Uristes gigas	Trematomus scotti
Uristes gigas	Pogonophryne phyllopogon
Uristes gigas	Labidiaster annulatus
Uristes gigas	Eunoe spica spicoides
Abyssorchomene sp.	Aptenodytes forsteri
Neopagetopsis ionah	Aptenodytes forsteri
Neopagetopsis ionah	Paradiplospinus gracilis
Neopagetopsis ionah	Gymnoscopelus nicholsi
Neopagetopsis ionah	Protomyctophum bolini
Neopagetopsis ionah	Gymnoscopelus braueri
Neopagetopsis ionah	Electrona antarctica
Gerlachea australis	Aptenodytes forsteri
Gerlachea australis	Leptonychotes weddelli
Gerlachea australis	Psilaster charcoti
Gerlachea australis	Colossendeis scotti
Gerlachea australis	Macrourus holotrachys
Gerlachea australis	Abyssorchomene nodimanus
Gerlachea australis	Pareledone antarctica
Gerlachea australis	Pareledone charcoti
Gerlachea australis	Nymphon gracillimum
Gerlachea australis	Ammothea carolinensis
Gerlachea australis	Eunoe spica
Gerlachea australis	Ophiosparte gigas
Gerlachea australis	Macrourus whitsoni
Gerlachea australis	Ommatophoca rossii
Gerlachea australis	Hydrurga leptonyx
Gerlachea australis	Arctocephalus gazella
Gerlachea australis	Pentanymphon antarcticum
Gerlachea australis	Trematomus pennellii
Gerlachea australis	Trematomus hansoni
Gerlachea australis	Trematomus loennbergii
Gerlachea australis	Pagetopsis macropterus
Gerlachea australis	Mirounga leonina
Gerlachea australis	Dacodraco hunteri
Gerlachea australis	Notothenia coriiceps
Gerlachea australis	Eunoe spica spicoides
Undinella sp.	Pleuragramma antarcticum
Aetideus armatus	Pleuragramma antarcticum
Notothenia sp.	Hydrurga leptonyx
Gnathophausia sp.	Sterna paradisaea
Gnathophausia sp.	Fregetta tropica
Gnathophausia sp.	Pterodroma brevirostris
Gnathophausia sp.	Procellaria aequinoctialis
Gnathophausia sp.	Aptenodytes forsteri
Gnathophausia sp.	Pachyptila desolata
Gnathophausia sp.	Pygoscelis adeliae
Gnathophausia sp.	Halobaena caerulea
Gnathophausia sp.	Pagodroma nivea
Gnathophausia sp.	Thalassoica antarctica
Gnathophausia sp.	Oceanites oceanicus
Gnathophausia sp.	Daption capense
Gnathophausia sp.	Fulmarus glacialoides
Cyphocaris sp.	Sterna paradisaea
Cyphocaris sp.	Fregetta tropica
Cyphocaris sp.	Pterodroma brevirostris
Cyphocaris sp.	Procellaria aequinoctialis
Cyphocaris sp.	Aptenodytes forsteri
Cyphocaris sp.	Pachyptila desolata
Cyphocaris sp.	Pygoscelis adeliae
Cyphocaris sp.	Halobaena caerulea
Cyphocaris sp.	Pagodroma nivea
Cyphocaris sp.	Thalassoica antarctica
Cyphocaris sp.	Oceanites oceanicus
Cyphocaris sp.	Daption capense
Cyphocaris sp.	Fulmarus glacialoides
Gigantocypris muelleri	Sterna paradisaea
Gigantocypris muelleri	Fregetta tropica
Gigantocypris muelleri	Pterodroma brevirostris
Gigantocypris muelleri	Procellaria aequinoctialis
Gigantocypris muelleri	Aptenodytes forsteri
Gigantocypris muelleri	Pachyptila desolata
Gigantocypris muelleri	Pygoscelis adeliae
Gigantocypris muelleri	Halobaena caerulea
Gigantocypris muelleri	Pagodroma nivea
Gigantocypris muelleri	Thalassoica antarctica
Gigantocypris muelleri	Oceanites oceanicus
Gigantocypris muelleri	Daption capense
Gigantocypris muelleri	Fulmarus glacialoides
Anuropus sp.	Sterna paradisaea
Anuropus sp.	Fregetta tropica
Anuropus sp.	Pterodroma brevirostris
Anuropus sp.	Procellaria aequinoctialis
Anuropus sp.	Aptenodytes forsteri
Anuropus sp.	Pachyptila desolata
Anuropus sp.	Pygoscelis adeliae
Anuropus sp.	Halobaena caerulea
Anuropus sp.	Pagodroma nivea
Anuropus sp.	Thalassoica antarctica
