Network	Predator_name	Prey_name
Regional	Cyllopus lucasii	Bacillariophyta
Regional	Cyllopus lucasii	Zooplankton
Regional	Cyllopus lucasii	Tintinnidae
Regional	Cyllopus lucasii	Copepoda
Regional	Cyllopus lucasii	Oithona sp.
Regional	Cyllopus lucasii	Oncaea sp.
Regional	Cyllopus lucasii	Calanus propinquus
Regional	Cyllopus lucasii	Metridia gerlachei
Regional	Cyllopus lucasii	Ostracoda
Regional	Cyllopus lucasii	Euphausia superba
Regional	Cyllopus lucasii	Coelenterata
Regional	Cyllopus lucasii	Pelagobia longicirrata
Regional	Cyllopus lucasii	Eukrohnia hamata
Regional	Hyperiella dilatata	Bacillariophyta
Regional	Hyperiella dilatata	Zooplankton
Regional	Hyperiella dilatata	Tintinnidae
Regional	Hyperiella dilatata	Copepoda
Regional	Hyperiella dilatata	Oithona sp.
Regional	Hyperiella dilatata	Oncaea sp.
Regional	Hyperiella dilatata	Coelenterata
Regional	Vibilia antarctica	Zooplankton
Regional	Vibilia stebbingi	Zooplankton
Regional	Hyperia macrocephala	Pteropoda
Regional	Hyperia macrocephala	Limacina helicina 
Regional	Hyperia macrocephala	Salpa thompsoni
Regional	Hyperia macrocephala	Coelenterata
Regional	Hyperia macrocephala	Scyphozoa
Regional	Epimeria similis	Hydrozoa
Regional	Epimeria similis	Polychaeta
Regional	Epimeria similis	Cnidaria
Regional	Epimeria similis	Porifera
Regional	Epimeria similis	Bacillariophyta
Regional	Epimeria similis	Foraminifera
Regional	Epimeria robusta	Euphausiacea
Regional	Epimeria robusta	Holothuria
Regional	Epimeria robusta	Zooplankton
Regional	Epimeria robusta	Crustacea
Regional	Epimeria robusta	Amphipoda
Regional	Epimeria robusta	Cnidaria
Regional	Epimeria robusta	Polychaeta
Regional	Epimeria robusta	Taeniogyrus contortus
Regional	Epimeria macrodonta	Cnidaria
Regional	Epimeria macrodonta	Hydrozoa
Regional	Epimeria macrodonta	Urticinopsis antarctica
Regional	Epimeria macrodonta	Anthozoa
Regional	Epimeria macrodonta	Crustacea
Regional	Epimeria macrodonta	Euphausiacea
Regional	Epimeria macrodonta	Pantopoda
Regional	Epimeria macrodonta	Holothuria
Regional	Epimeria macrodonta	Foraminifera
Regional	Epimeria macrodonta	Bacillariophyta
Regional	Epimeria macrodonta	Ostracoda
Regional	Epimeria macrodonta	Porifera
Regional	Epimeria macrodonta	Sediment
Regional	Epimeria macrodonta	Squid
Regional	Epimeria rubrieques	Euphausiacea
Regional	Epimeria rubrieques	Zooplankton
Regional	Epimeria rubrieques	Crustacea
Regional	Epimeria rubrieques	Amphipoda
Regional	Epimeria rubrieques	Cnidaria
Regional	Epimeria rubrieques	Hydrozoa
Regional	Epimeria rubrieques	Clavularia sp.
Regional	Epimeria rubrieques	Polychaeta
Regional	Epimeria rubrieques	Taeniogyrus contortus
Regional	Epimeria georgiana	Crustacea
Regional	Epimeria georgiana	Mysidacea
Regional	Epimeria georgiana	Amphipoda
Regional	Epimeria georgiana	Polychaeta
Regional	Epimeria georgiana	Holothuria
Regional	Epimeria georgiana	Hydrozoa
Regional	Epimeria georgiana	Bacillariophyta
Regional	Epimeria georgiana	Zooplankton
Regional	Epimeria georgiana	Foraminifera
Regional	Melphidippa antarctica	Euchaeta antarctica
Regional	Melphidippa antarctica	Crustacea
Regional	Melphidippa antarctica	Euphausiacea
Regional	Melphidippa antarctica	Mysidacea
Regional	Melphidippa antarctica	Porifera
Regional	Melphidippa antarctica	Cnidaria
Regional	Melphidippa antarctica	Holothuria
Regional	Oediceroides emarginatus	Phytoplankton
Regional	Oediceroides emarginatus	Crustacea
Regional	Oediceroides emarginatus	Amphipoda
Regional	Oediceroides calmani	Phytoplankton
Regional	Oediceroides calmani	Crustacea
